	mean1	mean2	mean3	sd1	sd2	sd3	country	species	n_mosquito_targets	sample_set	contributor	location	year	month	latitude	longitude	sex_call	aim_species	taxon
AG0202-C	-84.46269000000001	0.0060211066	-21.36075	-49.235558000000005	-32.851147	-24.142104999999997	Gambia, The	Anopheles_gambiae	62	AG1000G-GM-A	Martin Donnelly	Njabakunda	2011	10.0	13.55	-15.9	F	gambiae	gcx1
AA0045-C	-71.834946	-16.674587	-6.024126	-37.747271999999995	-31.282528000000003	-18.516285	Ghana	Anopheles_gambiae	62	AG1000G-GH	David Weetman	Koforidua	2012	11.0	6.093999999999999	-0.261	F	gambiae	gambiae
AV0387-C	-85.89993	-16.825447	-10.457125	-44.275127000000005	-34.743473	-22.573532	Mali	Anopheles_gambiae	62	AG1000G-GN-B	Ken Vernick	Toumani Oulena	2012	10.0	10.83	-7.81	F	gambiae	gambiae
AY0079-C	-77.14654499999999	12.232125	-27.433939000000002	-50.94095	-30.258995000000002	-23.850176	Cote d'Ivoire	Anopheles_coluzzii	62	AG1000G-CI	David Weetman	Tiassale	2012	-1.0	5.898	-4.823	F	coluzzii	coluzzii
AC0257-C	-93.72389	-18.966583	-11.163387	-48.068979999999996	-37.91868	-24.3536	Uganda	Anopheles_gambiae	62	AG1000G-UG	Martin Donnelly	Kihihi	2012	11.0	-0.7509999999999999	29.701	F	gambiae	gambiae
AY0059-C	-87.28911	3.4181805	-24.39811	-51.89734	-33.455418	-25.288988	Cote d'Ivoire	Anopheles_coluzzii	61	AG1000G-CI	David Weetman	Tiassale	2012	-1.0	5.898	-4.823	F	coluzzii	coluzzii
AC0083-C	-76.953964	-72.776474	31.457572999999996	-37.38695	-50.329082	-24.59144	Uganda	Anopheles_arabiensis	61	AG1000G-UG	Martin Donnelly	Nagongera	2012	10.0	0.77	34.025999999999996	F	arabiensis	arabiensis
BL0282-C	-77.81609	-74.29343399999999	32.30297	-38.198196	-51.581309999999995	-24.676859	Tanzania	Anopheles_arabiensis	61	AG1000G-TZ	David Weetman	Moshi	2012	8.0	-3.4819999999999998	37.308	F	arabiensis	arabiensis
BL0152-C	-79.52104	-75.89115	32.812473	-38.86262	-52.373917	-25.3353	Tanzania	Anopheles_arabiensis	62	AG1000G-TZ	Bilali Kabula	Muleba	2015	6.0	-1.962	31.651	F	arabiensis	arabiensis
BL0105-C	-78.41452	-16.969004	-7.663457000000001	-41.3843	-33.43632	-20.145402999999998	Tanzania	Anopheles_gambiae	62	AG1000G-TZ	Bilali Kabula	Muleba	2015	3.0	-1.962	31.651	M	gambiae	gambiae
AV0020-C	-96.23569	-21.100391000000002	-10.528378	-48.7843	-38.997009999999996	-24.790377	Guinea	Anopheles_gambiae	62	AG1000G-GN-A	Ken Vernick	Koraboh	2012	10.0	9.28	-10.03	F	gambiae	gambiae
AR0079-C	-61.92109	26.25142	-32.983246	-49.03678	-25.241592	-21.94877	Angola	Anopheles_coluzzii	62	AG1000G-AO	Joao Pinto	Luanda	2009	4.0	-8.884	13.302	F	coluzzii	coluzzii
AY0063-C	-69.53714000000001	9.863813	-23.359955	-46.044914	-27.9931	-21.38439	Cote d'Ivoire	Anopheles_coluzzii	61	AG1000G-CI	David Weetman	Tiassale	2012	-1.0	5.898	-4.823	F	coluzzii	coluzzii
BK0010-C	-75.02069	-18.57872	-5.548356500000001	-38.936659999999996	-32.586514	-19.125044	Central African Republic	Anopheles_gambiae	62	AG1000G-CF	Alessandra della Torre	Bangui	1994	1.0	4.367	18.583	F	gambiae	gambiae
AN0460-C	-94.36606	4.811868	-27.267865999999998	-56.554233999999994	-36.026814	-27.299604	Cameroon	Anopheles_coluzzii	62	AG1000G-CM-B	Nora Besansky	Palama	2005	-1.0	10.462	14.228	F	coluzzii	coluzzii
AZ0314-C	-92.94909	-23.591213	-7.728003500000001	-46.145340000000004	-38.113459999999996	-23.785852	Mali	Anopheles_gambiae	62	AG1000G-ML-A	Austin Burt	Kababougou	2014	8.0	12.89	-8.15	F	gambiae	gambiae
BP0064-C	-80.67267	-17.966331	-7.875267999999999	-41.659	-33.726307	-20.843616	Democratic Republic of Congo	Anopheles_gambiae	62	AG1000G-CD	David Weetman	Gbadolite	2015	7.0	4.283	21.017	M	gambiae	gambiae
AG0170-C	-77.033455	-4.0559400000000005	-16.320831	-44.077020000000005	-30.982937	-21.61938	Gambia, The	Anopheles_gambiae	62	AG1000G-GM-A	Martin Donnelly	Njabakunda	2011	9.0	13.55	-15.9	F	gambiae	gcx1
AZ0247-C	-86.36452	-74.74516	30.639664	-40.4694	-51.53802	-25.812588	Malawi	Anopheles_arabiensis	62	AG1000G-MW	Martin Donnelly	Chikhwawa	2015	5.0	-15.933	34.755	F	arabiensis	arabiensis
BK0051-C	-91.75256	-29.103527000000003	-3.1145256000000003	-44.339165	-39.086304	-22.824289999999998	Central African Republic	Anopheles_gambiae	62	AG1000G-CF	Alessandra della Torre	Bangui	1994	1.0	4.367	18.583	F	gambiae	gambiae
AK0116-C	-86.73424	-9.603658	-15.419275	-47.428295	-34.881657000000004	-23.29205	Kenya	Anopheles_gambiae	58	AG1000G-KE	Janet Midega	Kilifi	2012	-1.0	-3.511	39.909	F	gambiae	gcx3
BK0007-C	-68.75973	7.883262599999999	-21.44145	-44.713390000000004	-27.76005	-20.784742	Central African Republic	Anopheles_coluzzii	62	AG1000G-CF	Alessandra della Torre	Bangui	1993	12.0	4.367	18.583	F	coluzzii	coluzzii
AY0074-C	-77.17948	6.621492999999999	-23.3475	-48.404095	-30.39752	-22.877548	Cote d'Ivoire	Anopheles_coluzzii	62	AG1000G-CI	David Weetman	Tiassale	2012	-1.0	5.898	-4.823	F	coluzzii	coluzzii
AC0016-C	-82.16176	-72.75516	30.333662	-38.87737	-50.258595	-24.966396	Uganda	Anopheles_arabiensis	61	AG1000G-UG	Martin Donnelly	Nagongera	2012	10.0	0.77	34.025999999999996	F	arabiensis	arabiensis
AZ0246-C	-87.592415	-76.49141999999999	31.600590000000004	-41.093284999999995	-52.603714000000004	-26.534475	Malawi	Anopheles_arabiensis	62	AG1000G-MW	Martin Donnelly	Chikhwawa	2015	5.0	-15.933	34.755	F	arabiensis	arabiensis
BL0094-C	-83.30693000000001	-73.52711	30.43572	-39.423615000000005	-50.939556	-25.099936	Tanzania	Anopheles_arabiensis	62	AG1000G-TZ	Bilali Kabula	Muleba	2015	3.0	-1.962	31.651	F	arabiensis	arabiensis
BP0065-C	-74.71681	-22.19546	-2.7963774	-37.967728	-33.28161	-18.668243	Democratic Republic of Congo	Anopheles_gambiae	62	AG1000G-CD	David Weetman	Gbadolite	2015	7.0	4.283	21.017	M	gambiae	gambiae
AP0030-C	-91.08679000000001	-51.127373	13.144942000000002	-41.30127	-43.529324	-22.020803	Mayotte	Anopheles_gambiae	62	AG1000G-FR	Igor Sharakhov	Mont Benara	2011	-1.0	-12.857000000000001	45.155	F	gambiae	gambiae
VBS02069-4431STDY6672937	-83.880455	10.800264	-28.350462	-54.012969999999996	-32.675064	-25.36861	Mali	Anopheles_coluzzii	62	AG1000G-ML-B	Nora Besansky	Douna	2004	8.0	13.21	-5.9	F	coluzzii	coluzzii
BK0046-C	-77.071846	-24.626720000000002	-1.8155613999999998	-38.441853	-34.259632	-19.146809	Central African Republic	Anopheles_gambiae	62	AG1000G-CF	Alessandra della Torre	Bangui	1994	1.0	4.367	18.583	F	gambiae	gambiae
AG0022-C	-71.7024	8.026034	-22.757483999999998	-46.19767	-28.379988	-21.79511	Gambia, The	Anopheles_coluzzii	61	AG1000G-GM-C	Charles Godfray	Wali Kunda	2012	10.0	13.567	-14.917	F	coluzzii	gcx2
AV0236-C	-89.31656	7.085364	-27.262184	-55.171690000000005	-34.66506	-26.104576	Mali	Anopheles_coluzzii	62	AG1000G-GN-B	Ken Vernick	Takan	2012	10.0	11.47	-8.33	F	coluzzii	coluzzii
BP0024-C	-90.180336	-28.395082000000002	-3.1059452999999997	-43.760708	-38.501812	-22.515078	Democratic Republic of Congo	Anopheles_gambiae	61	AG1000G-CD	David Weetman	Gbadolite	2015	7.0	4.283	21.017	F	gambiae	gambiae
AG0327-C	-79.66404	11.681448	-27.546162	-52.008117999999996	-31.129108000000002	-24.37721	Gambia, The	Anopheles_coluzzii	62	AG1000G-GM-C	Charles Godfray	Wali Kunda	2012	10.0	13.567	-14.917	F	coluzzii	gcx2
AC0169-C	-89.49427	-26.498108000000002	-4.287185	-44.099438	-38.18777	-22.31231	Uganda	Anopheles_gambiae	62	AG1000G-UG	Martin Donnelly	Nagongera	2012	10.0	0.77	34.025999999999996	F	gambiae	gambiae
BK0085-C	-66.86685	-25.734179	2.0350142	-33.11022	-31.504920000000002	-16.301462	Central African Republic	Anopheles_gambiae	62	AG1000G-CF	Alessandra della Torre	Bangui	1994	1.0	4.367	18.583	F	gambiae	gambiae
AS0003-C	-75.59402	-24.56074	-1.368447	-37.44565	-33.463497	-18.852434	Gabon	Anopheles_gambiae	62	AG1000G-GA-A	Joao Pinto	Libreville	2000	12.0	0.384	9.455	F	gambiae	gambiae
BP0008-C	-83.34675	-24.91925	-3.6458367999999997	-41.335487	-36.148379999999996	-20.737095	Democratic Republic of Congo	Anopheles_gambiae	60	AG1000G-CD	David Weetman	Gbadolite	2015	7.0	4.283	21.017	F	gambiae	gambiae
AC0082-C	-85.94983	-76.72881	31.900540999999997	-40.616802	-52.703064000000005	-26.361653999999998	Uganda	Anopheles_arabiensis	62	AG1000G-UG	Martin Donnelly	Nagongera	2012	10.0	0.77	34.025999999999996	F	arabiensis	arabiensis
BL0283-C	-90.15109	-82.698006	34.918890000000005	-42.815712	-56.50574	-28.443704999999998	Tanzania	Anopheles_arabiensis	62	AG1000G-TZ	David Weetman	Moshi	2012	8.0	-3.4819999999999998	37.308	F	arabiensis	arabiensis
AR0042-C	-70.44556	26.360134000000002	-36.137671999999995	-53.669052	-27.883465	-24.659754	Angola	Anopheles_coluzzii	62	AG1000G-AO	Joao Pinto	Luanda	2009	4.0	-8.884	13.302	F	coluzzii	coluzzii
VBS02018-4431STDY6672886	-94.62999	-12.2310915	-15.931911999999999	-50.6385	-37.373123	-25.374723	Cameroon	Anopheles_gambiae	62	AG1000G-CM-B	Nora Besansky	Djamboutou	2005	-1.0	8.579	13.515999999999998	F	gambiae	gambiae
BQ0049-C	-90.95674	-37.09587	3.2786660000000003	-42.610275	-40.55258	-21.725820000000002	Mozambique	Anopheles_gambiae	61	AG1000G-MZ	Joao Pinto	Furvela	2004	2.0	-23.715999999999998	35.299	F	gambiae	gambiae
AS0062-C	-73.93468	-36.078552	6.974684	-34.982033	-35.380894	-17.564745000000002	Gabon	Anopheles_gambiae	62	AG1000G-GA-A	Joao Pinto	Libreville	2000	12.0	0.384	9.455	F	gambiae	gambiae
AG0203-C	-58.21181	2.8659923	-15.3480835	-36.91153	-24.660976	-17.36617	Gambia, The	Anopheles_gambiae	59	AG1000G-GM-A	Martin Donnelly	Njabakunda	2011	10.0	13.55	-15.9	F	gambiae	gcx1
VBS02061-4431STDY6672929	-78.52689000000001	-70.232376	29.460426000000002	-37.24057	-48.50031	-23.954624	Mali	Anopheles_arabiensis	61	AG1000G-ML-B	Nora Besansky	Fanzana	2004	8.0	13.2	-6.13	F	arabiensis	arabiensis
BL0309-C	-85.39634000000001	-80.22521	34.426970000000004	-41.15676	-55.18115600000001	-27.271317	Tanzania	Anopheles_arabiensis	62	AG1000G-TZ	David Weetman	Tarime	2012	8.0	-1.431	34.199	F	arabiensis	arabiensis
BQ0090-C	-91.71247	-46.860413	9.977458	-41.213074	-42.398334999999996	-21.781760000000002	Mozambique	Anopheles_gambiae	61	AG1000G-MZ	Joao Pinto	Furvela	2004	3.0	-23.715999999999998	35.299	F	gambiae	gambiae
AR0023-C	-63.376045	34.03436	-38.987473	-53.241856000000006	-27.010408	-24.239511	Angola	Anopheles_coluzzii	62	AG1000G-AO	Joao Pinto	Luanda	2009	4.0	-8.884	13.302	F	coluzzii	coluzzii
AZ0319-C	-96.52396999999999	-23.026962	-9.384818	-47.95316	-38.953484	-24.916634	Mali	Anopheles_gambiae	62	AG1000G-ML-A	Austin Burt	Kababougou	2014	8.0	12.89	-8.15	F	gambiae	gambiae
AS0074-C	-69.63	-16.633629	-5.455326599999999	-36.486057	-30.366996999999998	-18.086494000000002	Gabon	Anopheles_gambiae	62	AG1000G-GA-A	Joao Pinto	Libreville	2000	12.0	0.384	9.455	F	gambiae	gambiae
AV0241-C	-94.61157	6.9883637	-28.952131	-57.402435	-36.091072	-27.800455	Mali	Anopheles_coluzzii	62	AG1000G-GN-B	Ken Vernick	Takan	2012	10.0	11.47	-8.33	F	coluzzii	coluzzii
AN0338-C	-82.96236	-71.992134	29.589512	-38.707229999999996	-49.67172	-24.900211	Cameroon	Anopheles_arabiensis	62	AG1000G-CM-C	Brad White	Lagdo	2013	10.0	9.049	13.655999999999999	F	arabiensis	arabiensis
AV0353-C	-71.539635	-21.269571	-2.8267157000000003	-35.782063	-31.340326	-18.143251	Guinea	Anopheles_gambiae	56	AG1000G-GN-B	Ken Vernick	Koundara	2012	10.0	8.48	-9.53	M	gambiae	gambiae
AN0103-C	-79.69542	-18.118323999999998	-7.441308	-41.35577	-33.745616999999996	-20.378134	Cameroon	Anopheles_gambiae	60	AG1000G-CM-A	Nora Besansky	Gado Badzere	2009	9.0	5.747000000000001	14.442	F	gambiae	gambiae
AG0055-C	-73.28564	9.515444	-24.003464	-48.111794	-29.742653000000004	-21.823975	Gambia, The	Anopheles_coluzzii	60	AG1000G-GM-C	Charles Godfray	Wali Kunda	2012	10.0	13.567	-14.917	F	coluzzii	gcx2
BL0149-C	-73.638756	-62.663803	25.51115	-35.280064	-44.449078	-21.17839	Tanzania	Anopheles_arabiensis	61	AG1000G-TZ	Bilali Kabula	Muleba	2015	6.0	-1.962	31.651	F	arabiensis	arabiensis
AY0054-C	-75.472206	15.429532	-29.450684000000003	-51.785920000000004	-29.939111999999998	-23.870077	Cote d'Ivoire	Anopheles_coluzzii	62	AG1000G-CI	David Weetman	Tiassale	2012	-1.0	5.898	-4.823	F	coluzzii	coluzzii
AA0068-C	-89.28839	6.470507	-26.867528999999998	-54.437580000000004	-34.293613	-26.170614	Ghana	Anopheles_coluzzii	62	AG1000G-GH	David Weetman	Takoradi	2012	8.0	4.912	-1.774	F	coluzzii	coluzzii
AV0083-C	-78.91731	-19.962378	-5.9277267	-40.108906	-33.670933000000005	-20.1088	Guinea	Anopheles_gambiae	60	AG1000G-GN-B	Ken Vernick	Koraboh	2012	10.0	9.28	-10.03	F	gambiae	gambiae
AJ0072-C	-61.773666000000006	1.7980806	-15.3974285	-38.438534000000004	-26.045898	-18.132786	Guinea-Bissau	Anopheles_gambiae	61	AG1000G-GW	Joao Pinto	Antula	2010	-1.0	11.890999999999998	-15.582	F	gambiae	gcx1
AN0379-C	-91.49628	8.892632	-29.137783000000002	-56.883385	-35.04075	-27.150925	Cameroon	Anopheles_coluzzii	62	AG1000G-CM-C	Brad White	Tibati	2013	10.0	6.468999999999999	12.629000000000001	F	coluzzii	coluzzii
BP0045-C	-71.97305	-19.416576	-4.108533400000001	-36.919876	-31.365637	-18.355715	Democratic Republic of Congo	Anopheles_gambiae	60	AG1000G-CD	David Weetman	Gbadolite	2015	7.0	4.283	21.017	M	gambiae	gambiae
AG0014-C	-73.68822	-3.2332747000000004	-15.992825	-42.061108000000004	-29.316452	-20.868866	Gambia, The	Anopheles_coluzzii	59	AG1000G-GM-C	Charles Godfray	Wali Kunda	2012	10.0	13.567	-14.917	F	coluzzii	gcx2
AN0090-C	-91.77646	-12.847292999999999	-14.825428	-48.959070000000004	-36.561188	-24.462833	Cameroon	Anopheles_gambiae	62	AG1000G-CM-A	Nora Besansky	Gado Badzere	2009	9.0	5.747000000000001	14.442	F	gambiae	gambiae
AA0047-C	-71.61655400000001	-7.5624166	-12.061856	-40.419426	-29.957457	-19.536580999999998	Ghana	Anopheles_gambiae	62	AG1000G-GH	David Weetman	Koforidua	2012	11.0	6.093999999999999	-0.261	F	gambiae	gambiae
AV0106-C	-95.85244	-25.773592	-6.8399267	-47.584922999999996	-40.202133	-24.001364000000002	Guinea	Anopheles_gambiae	62	AG1000G-GN-B	Ken Vernick	Koraboh	2012	10.0	9.28	-10.03	M	gambiae	gambiae
AN0028-C	-68.348076	-25.717493	1.4815046	-33.57216	-31.476969	-16.8105	Cameroon	Anopheles_gambiae	62	AG1000G-CM-A	Nora Besansky	Gado Badzere	2009	9.0	5.747000000000001	14.442	M	gambiae	gambiae
BL0074-C	-77.61044	-70.466774	29.873428000000004	-37.402454	-48.947666	-23.793108	Tanzania	Anopheles_arabiensis	61	AG1000G-TZ	Bilali Kabula	Muleba	2015	6.0	-1.962	31.651	F	arabiensis	arabiensis
AZ0199-C	-75.12482	-65.867775	27.51442	-35.851677	-46.102546999999994	-22.37349	Malawi	Anopheles_arabiensis	61	AG1000G-MW	Martin Donnelly	Chikhwawa	2015	5.0	-15.933	34.755	F	arabiensis	arabiensis
AZ0176-C	-74.33075	-65.77438000000001	27.518114	-35.47043	-45.88608	-22.234903	Malawi	Anopheles_arabiensis	60	AG1000G-MW	Martin Donnelly	Chikhwawa	2015	5.0	-15.933	34.755	F	arabiensis	arabiensis
BK0049-C	-70.43420400000001	-6.8605633	-12.323644999999999	-39.687653000000005	-29.090813	-19.527895	Central African Republic	Anopheles_gambiae	62	AG1000G-CF	Alessandra della Torre	Bangui	1994	1.0	4.367	18.583	F	gambiae	gambiae
AY0082-C	-69.62116999999999	16.315383999999998	-28.262386	-49.0195	-28.091269	-22.366991	Cote d'Ivoire	Anopheles_coluzzii	62	AG1000G-CI	David Weetman	Tiassale	2012	-1.0	5.898	-4.823	F	coluzzii	coluzzii
AA0114-C	-65.53276	11.739619	-23.366669	-45.52872	-27.129891999999998	-20.289938	Ghana	Anopheles_coluzzii	59	AG1000G-GH	David Weetman	Takoradi	2012	8.0	4.912	-1.774	F	coluzzii	coluzzii
AV0055-C	-97.44961500000001	-22.826527	-9.603717	-48.92134	-39.59426	-24.990435	Guinea	Anopheles_gambiae	62	AG1000G-GN-B	Ken Vernick	Koraboh	2012	10.0	9.28	-10.03	F	gambiae	gambiae
BQ0115-C	-99.78259	-51.645283	11.170731	-44.098240000000004	-45.652473	-23.763804999999998	Mozambique	Anopheles_gambiae	62	AG1000G-MZ	Joao Pinto	Furvela	2004	4.0	-23.715999999999998	35.299	F	gambiae	gambiae
AP0005-C	-81.23508000000001	-44.664043	11.009816	-37.581196000000006	-39.324474	-19.576220000000003	Mayotte	Anopheles_gambiae	60	AG1000G-FR	Igor Sharakhov	Bouyouni	2011	-1.0	-12.738	45.141999999999996	F	gambiae	gambiae
AQ0005-C	-78.97652	-25.937351	-1.4143704	-38.899879999999996	-34.692904999999996	-19.719676999999997	Equatorial Guinea	Anopheles_gambiae	62	AG1000G-GQ	Igor Sharakhov	Bioko	2002	9.0	3.7	8.7	F	gambiae	gambiae
BQ0050-C	-97.03737	-43.557926	6.102825599999999	-44.042423	-43.311565	-23.01386	Mozambique	Anopheles_gambiae	62	AG1000G-MZ	Joao Pinto	Furvela	2004	2.0	-23.715999999999998	35.299	F	gambiae	gambiae
BL0388-C	-116.78428999999998	-65.13245	16.703561999999998	-50.037624	-53.627933999999996	-28.33105	Tanzania	Anopheles_gambiae	62	AG1000G-TZ	David Weetman	Muheza	2013	1.0	-4.94	38.948	F	gambiae	gambiae
BK0065-C	-68.95578	22.334791	-32.755302	-51.41417	-27.640347	-23.272854000000002	Central African Republic	Anopheles_coluzzii	62	AG1000G-CF	Alessandra della Torre	Bangui	1994	1.0	4.367	18.583	F	coluzzii	coluzzii
AK0088-C	-93.5233	-20.140842000000003	-9.968926	-48.165565	-38.521107	-23.980976000000002	Kenya	Anopheles_gambiae	62	AG1000G-KE	Janet Midega	Kilifi	2012	-1.0	-3.511	39.909	F	gambiae	gcx3
AA0084-C	-64.87699	-16.962954999999997	-3.8009918	-33.818459999999995	-28.896969	-16.72808	Ghana	Anopheles_gambiae	61	AG1000G-GH	David Weetman	Madina	2012	11.0	5.667999999999999	-0.21899999999999997	F	gambiae	gambiae
AV0254-C	-89.389824	8.058616	-28.037823	-55.339302	-34.443264	-26.435461	Mali	Anopheles_coluzzii	62	AG1000G-GN-B	Ken Vernick	Takan	2012	10.0	11.47	-8.33	F	coluzzii	coluzzii
AG0152-C	-85.79378	-3.589487	-19.438797	-48.700294	-33.506145000000004	-24.16995	Gambia, The	Anopheles_gambiae	61	AG1000G-GM-A	Martin Donnelly	Njabakunda	2011	8.0	13.55	-15.9	F	gambiae	gcx1
AQ0013-C	-71.838295	-15.405698999999998	-7.0253334	-37.760033	-30.502628	-18.897579999999998	Equatorial Guinea	Anopheles_gambiae	62	AG1000G-GQ	Igor Sharakhov	Bioko	2002	9.0	3.7	8.7	F	gambiae	gambiae
AC0174-Cx	-82.964775	-26.323452000000003	-2.4997525	-40.541090000000004	-35.86759	-20.808605	Uganda	Anopheles_gambiae	62	AG1000G-UG	Martin Donnelly	Nagongera	2012	10.0	0.77	34.025999999999996	F	gambiae	gambiae
VBS02055-4431STDY6672923	-96.22776999999999	6.8546085	-29.175784999999998	-58.556183	-36.825993	-28.093195	Mali	Anopheles_coluzzii	62	AG1000G-ML-B	Nora Besansky	N'Gabakoro	2004	8.0	12.68	-7.84	F	coluzzii	coluzzii
AV0366-C	-88.91767	8.765821	-28.519446999999996	-55.37896	-34.168564	-26.532984000000003	Mali	Anopheles_coluzzii	62	AG1000G-GN-B	Ken Vernick	Toumani Oulena	2012	10.0	10.83	-7.81	F	coluzzii	coluzzii
AV0223-C	-79.19272600000001	-11.297464	-12.002215	-43.01117	-32.552372	-21.139275	Guinea	Anopheles_gambiae	61	AG1000G-GN-B	Ken Vernick	Koundara	2012	10.0	8.48	-9.53	M	gambiae	gambiae
AV0018-C	-76.72285500000001	-12.419767	-10.614341	-41.018448	-31.510440000000003	-20.542679	Guinea	Anopheles_gambiae	62	AG1000G-GN-A	Ken Vernick	Koraboh	2012	10.0	9.28	-10.03	F	gambiae	gambiae
AC0296-C	-87.87391	-20.231472	-8.44951	-44.832333	-36.39513	-22.506216000000002	Uganda	Anopheles_gambiae	62	AG1000G-UG	Martin Donnelly	Kihihi	2012	11.0	-0.7509999999999999	29.701	F	gambiae	gambiae
AZ0183-C	-89.6823	-76.54768	31.18389	-41.334213	-52.508219999999994	-26.888884	Malawi	Anopheles_arabiensis	61	AG1000G-MW	Martin Donnelly	Chikhwawa	2015	5.0	-15.933	34.755	F	arabiensis	arabiensis
AP0033-C	-86.15268	-41.563446	7.5634303	-39.022940000000006	-39.26097	-20.689867	Mayotte	Anopheles_gambiae	57	AG1000G-FR	Igor Sharakhov	Karihani Lake	2011	-1.0	-12.797	45.122	F	gambiae	gambiae
BL0078-C	-98.55615999999999	-22.689575	-10.067708	-49.384426	-39.660503000000006	-25.452639	Tanzania	Anopheles_gambiae	62	AG1000G-TZ	Bilali Kabula	Muleba	2015	6.0	-1.962	31.651	F	gambiae	gambiae
BQ0123-C	-88.32298	-46.481334999999994	10.625245	-39.834559999999996	-41.445774	-21.082507999999997	Mozambique	Anopheles_gambiae	62	AG1000G-MZ	Joao Pinto	Furvela	2003	12.0	-23.715999999999998	35.299	F	gambiae	gambiae
AP0025-C	-81.32151999999999	-38.550056	6.883515400000001	-38.010643	-37.928074	-19.26894	Mayotte	Anopheles_gambiae	60	AG1000G-FR	Igor Sharakhov	Sada	2011	-1.0	-12.852	45.104	M	gambiae	gambiae
AG0021-C	-75.83478000000001	11.259683	-26.105497	-49.927284	-29.943785	-23.22182	Gambia, The	Anopheles_coluzzii	62	AG1000G-GM-C	Charles Godfray	Wali Kunda	2012	10.0	13.567	-14.917	F	coluzzii	gcx2
AK0047-C	-78.10141999999999	-73.2015	31.666985999999998	-37.940132	-50.75136	-24.742334	Kenya	Anopheles_arabiensis	61	AG1000G-KE	Janet Midega	Kilifi	2012	-1.0	-3.511	39.909	F	arabiensis	arabiensis
AN0209-C	-73.22085600000001	-40.872013	10.407898	-34.087173	-36.105698	-17.672473999999998	Cameroon	Anopheles_gambiae	60	AG1000G-CM-A	Nora Besansky	Mayos	2009	9.0	4.341	13.558	F	gambiae	gambiae
AK0102-C	-73.95902	-5.7434635	-14.154429	-41.862373	-29.939352000000003	-20.411655	Kenya	Anopheles_gambiae	58	AG1000G-KE	Janet Midega	Kilifi	2012	-1.0	-3.511	39.909	F	gambiae	gcx3
AA0118-C	-78.67577	-13.729970999999999	-10.194714	-42.037613	-32.720993	-20.683567	Ghana	Anopheles_gambiae	60	AG1000G-GH	David Weetman	Koforidua	2012	11.0	6.093999999999999	-0.261	F	gambiae	gambiae
BL0255-C	-75.23756999999999	-69.58510600000001	29.782604	-36.41021	-48.244347	-23.378982999999998	Tanzania	Anopheles_arabiensis	61	AG1000G-TZ	David Weetman	Moshi	2012	8.0	-3.4819999999999998	37.308	F	arabiensis	arabiensis
AR0094-C	-64.02941	25.21053	-33.192023999999996	-50.10302	-26.017279000000002	-22.381315	Angola	Anopheles_coluzzii	62	AG1000G-AO	Joao Pinto	Luanda	2009	4.0	-8.884	13.302	M	coluzzii	coluzzii
AC0238-C	-96.453735	-26.47965	-6.547233	-47.330677	-39.898303999999996	-24.478104000000002	Uganda	Anopheles_gambiae	62	AG1000G-UG	Martin Donnelly	Kihihi	2012	10.0	-0.7509999999999999	29.701	F	gambiae	gambiae
AZ0156-C	-79.502174	-73.041306	31.227484000000004	-38.40222	-50.638546000000005	-24.735714	Malawi	Anopheles_arabiensis	61	AG1000G-MW	Martin Donnelly	Chikhwawa	2015	5.0	-15.933	34.755	F	arabiensis	arabiensis
AQ0009-C	-71.6709	-22.491573000000002	-1.6971377	-36.160346999999994	-32.09241	-17.919442999999998	Equatorial Guinea	Anopheles_gambiae	61	AG1000G-GQ	Igor Sharakhov	Bioko	2002	9.0	3.7	8.7	F	gambiae	gambiae
AA0071-C	-70.84871	-8.139086	-11.3766985	-39.904340000000005	-29.799490000000002	-19.247692	Ghana	Anopheles_gambiae	62	AG1000G-GH	David Weetman	Koforidua	2012	11.0	6.093999999999999	-0.261	F	gambiae	gambiae
AS0057-C	-72.17459000000001	-22.152723	-2.2440722	-36.384552	-31.790508000000003	-18.275822	Gabon	Anopheles_gambiae	62	AG1000G-GA-A	Joao Pinto	Libreville	2000	12.0	0.384	9.455	F	gambiae	gambiae
AK0207-C	-99.28442	-50.82639	10.663474	-44.006972999999995	-45.407063	-23.63966	Kenya	Anopheles_gambiae	62	AG1000G-KE	Janet Midega	Kilifi	2000	-1.0	-3.511	39.909	M	gambiae	gambiae
AA0088-C	-59.40438	18.23264	-26.760218	-44.299458	-24.511618	-20.008465	Ghana	Anopheles_coluzzii	60	AG1000G-GH	David Weetman	Twifo Praso	2012	9.0	5.609	-1.5490000000000002	F	coluzzii	coluzzii
AA0067-C	-67.50158	19.876434	-30.453135999999997	-49.402893	-27.259403000000002	-22.557219	Ghana	Anopheles_coluzzii	62	AG1000G-GH	David Weetman	Takoradi	2012	8.0	4.912	-1.774	F	coluzzii	coluzzii
AG0365-C	-67.894165	4.406626	-18.993982	-42.736057	-27.791126000000002	-20.043608	Gambia, The	Anopheles_coluzzii	62	AG1000G-GM-C	Charles Godfray	Wali Kunda	2012	10.0	13.567	-14.917	F	coluzzii	gcx2
AS0041-C	-78.99171	-42.25107	9.97756	-36.299240000000005	-37.868458000000004	-18.989344	Gabon	Anopheles_gambiae	62	AG1000G-GA-A	Joao Pinto	Libreville	2000	12.0	0.384	9.455	F	gambiae	gambiae
