sample_id	type	source	species	country	mean1	mean2	mean3	sd1	sd2	sd3	contributor	location	year	month	latitude	longitude	sex_call	sample_set	aim_species	taxon	assigned_species
AJ0023-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Guinea-Bissau	-69.906746	-4.00332	-14.079845	-40.64374	-29.116488	-19.477120000000006	Joao Pinto	Antula	2010.0	-1.0	11.890999999999998	-15.582	F	AG1000G-GW	gambiae	gcx1	Anopheles_gambiae
BL0317-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_arabiensis	Tanzania	-87.72482	-75.43261	30.805687	-40.835484	-51.95137	-26.253454	David Weetman	Tarime	2012.0	8.0	-1.431	34.199	F	AG1000G-TZ	arabiensis	arabiensis	Anopheles_arabiensis
BL0072-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_arabiensis	Tanzania	-86.28879	-77.09571	32.28267	-40.982986	-53.086224	-26.523874	Bilali Kabula	Muleba	2015.0	6.0	-1.962	31.651	F	AG1000G-TZ	arabiensis	arabiensis	Anopheles_arabiensis
AR0006-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_coluzzii	Angola	-68.78515	28.23386	-36.752167	-53.708904	-27.667728000000004	-24.399216	Joao Pinto	Luanda	2009.0	4.0	-8.884	13.302	M	AG1000G-AO	coluzzii	coluzzii	Anopheles_coluzzii
AV0396-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Mali	-91.42232	-18.092827	-11.192747	-46.95408	-36.804695	-23.827549	Ken Vernick	Toumani Oulena	2012.0	10.0	10.83	-7.81	M	AG1000G-GN-B	gambiae	gambiae	Anopheles_gambiae
AN0222-Cx	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Cameroon	-72.51209	-33.911636	5.865414599999999	-34.26898	-34.183743	-17.293905	Nora Besansky	Daiguene	2009.0	9.0	4.777	13.844	M	AG1000G-CM-A	gambiae	gambiae	Anopheles_gambiae
VBS02059-4431STDY6672927	public_wgs	Ag1000G Consortium (2021)	Anopheles_coluzzii	Mali	-91.253746	3.4624422	-25.437117	-54.247032	-35.024753999999994	-26.207392	Nora Besansky	N'Gabakoro	2004.0	8.0	12.68	-7.84	F	AG1000G-ML-B	coluzzii	coluzzii	Anopheles_coluzzii
AV0223-C	public_wgs	Ag1000G Consortium (2021)	Anopheles_gambiae	Guinea	-76.619934	-11.556393	-11.112886	-41.488754	-31.629595	-20.412268	Ken Vernick	Koundara	2012.0	10.0	8.48	-9.53	M	AG1000G-GN-B	gambiae	gambiae	Anopheles_gambiae
NG-2-59	amplicon_panel	this study	Anopheles_gambiae	Nigeria	-65.29355	-13.616266	-6.3044505	-34.630375	-28.39532	-17.312132000000002	Olaitan Omitola										Anopheles_gambiae
NG-3-68	amplicon_panel	this study	Anopheles_gambiae	Nigeria	-68.31641	-19.727726	-2.8435245	-34.648284999999994	-30.297901	-17.479627999999998	Olaitan Omitola										Anopheles_gambiae
NG-3-9	amplicon_panel	this study	Anopheles_gambiae	Nigeria	-61.7062	-12.37243	-5.9550843	-33.536217	-27.484295	-16.366410000000002	Olaitan Omitola										Anopheles_gambiae
NG-3-4	amplicon_panel	this study	Anopheles_gambiae	Nigeria	-62.118645	-13.246795	-5.634207	-33.04862	-27.108902	-16.700210000000002	Olaitan Omitola										Anopheles_gambiae
NG-1-75	amplicon_panel	this study	Anopheles_gambiae	Nigeria	-55.66681	-14.249342	-3.2351806	-28.819727	-24.895409	-14.901678	Olaitan Omitola										Anopheles_gambiae
NG-3-89	amplicon_panel	this study	Anopheles_gambiae	Nigeria	-53.414497	-13.698815	-2.8189561000000003	-27.939299	-24.311964	-14.281989	Olaitan Omitola										Anopheles_gambiae
NG-1-23	amplicon_panel	this study	Anopheles_gambiae	Nigeria	-63.38064	-1.1293756	-14.144968	-38.061615	-26.50285	-18.12497	Olaitan Omitola										Anopheles_gambiae
NG-6-12	amplicon_panel	this study	Anopheles_gambiae	Nigeria	-66.95718000000001	-18.148628	-3.7345903	-33.897263	-28.981308	-17.394918	Olaitan Omitola										Anopheles_gambiae
NG-2-25	amplicon_panel	this study	Anopheles_gambiae	Nigeria	-70.95949	-12.495725	-8.665592	-38.172108	-29.933151	-18.923622	Olaitan Omitola										Anopheles_gambiae
NG-4-50	amplicon_panel	this study	Anopheles_coluzzii	Nigeria	-62.74331700000001	24.205313	-32.24524	-48.72189	-25.46596700000001	-21.616146	Olaitan Omitola										Anopheles_coluzzii
MADA3-22	amplicon_panel	this study	Anopheles_arabiensis	Madagascar	-52.638115	-54.21151	25.218004	-27.790289	-39.06389	-17.00069	Diego Ayala										Anopheles_arabiensis
MADA2-6	amplicon_panel	this study	Anopheles_gambiae	Madagascar	-51.317307	-32.754555	10.796575	-25.239656	-28.118652	-12.986739	Diego Ayala										Anopheles_gambiae
MADA3-29	amplicon_panel	this study	Anopheles_arabiensis	Madagascar	-53.60412	-55.473312	25.779236	-28.531683	-40.074093	-17.318735	Diego Ayala										Anopheles_arabiensis
MADA3-35	amplicon_panel	this study	Anopheles_arabiensis	Madagascar	-51.418484	-50.57841	23.266945	-26.886442	-36.724724	-16.03346	Diego Ayala										Anopheles_arabiensis
MADA3-63	amplicon_panel	this study	Anopheles_arabiensis	Madagascar	-43.535507	-47.257607	22.96289800000001	-24.134531	-35.230724	-14.431652	Diego Ayala										Anopheles_arabiensis
MADA3-33	amplicon_panel	this study	Anopheles_arabiensis	Madagascar	-55.40941	-56.661858	26.155655	-29.12310200000001	-40.595264	-17.905792	Diego Ayala										Anopheles_arabiensis
MADA3-50	amplicon_panel	this study	Anopheles_arabiensis	Madagascar	-52.14355	-53.480812	24.919727	-27.526186	-38.628883	-16.780819	Diego Ayala										Anopheles_arabiensis
MADA2-10	amplicon_panel	this study	Anopheles_gambiae	Madagascar	-63.5992	-40.2486	13.024642	-29.69148	-32.911705	-16.042091	Diego Ayala										Anopheles_gambiae
MADA2-69	amplicon_panel	this study	Anopheles_gambiae	Madagascar	-62.44439000000001	-36.379955	10.319732	-29.460287	-31.694492	-15.4436655	Diego Ayala										Anopheles_gambiae
MADA3-46	amplicon_panel	this study	Anopheles_arabiensis	Madagascar	-46.00228	-49.44325	23.627384	-25.045584	-36.36079	-15.159209	Diego Ayala										Anopheles_arabiensis
MADA2-12	amplicon_panel	this study	Anopheles_gambiae	Madagascar	-72.97721	-46.290905	14.845798	-33.80178	-37.19761	-18.252092	Diego Ayala										Anopheles_gambiae
MADA3-75	amplicon_panel	this study	Anopheles_arabiensis	Madagascar	-48.885353	-52.06289	24.811077	-26.421404	-38.089916	-16.090376000000006	Diego Ayala										Anopheles_arabiensis
MADA3-67	amplicon_panel	this study	Anopheles_arabiensis	Madagascar	-49.51925	-50.018623	23.337461	-26.461655	-36.6736	-15.643833	Diego Ayala										Anopheles_arabiensis
MADA3-15	amplicon_panel	this study	Anopheles_arabiensis	Madagascar	-50.30337	-55.103855	26.335648	-27.076105	-40.01349	-16.981869	Diego Ayala										Anopheles_arabiensis
MADA3-28	amplicon_panel	this study	Anopheles_arabiensis	Madagascar	-55.05681600000001	-54.915398	25.141876	-28.660467	-39.3457	-17.436435999999997	Diego Ayala										Anopheles_arabiensis
AmelSAMN01760619	public_wgs	Fontaine et al. (2015)	Anopheles_melas	Cameroon	27.705416	-26.804295	22.451889	-11.38281	-43.18023	-2.3101093999999995											Uncertain_melas_quadriannulatus_merus_bwambae-fontenillei_gambiae_arabiensis_coluzzii_tengrela
AmerSAMN01760624	public_wgs	Fontaine et al. (2015)	Anopheles_merus	Kenya	33.72548	2.151322	11.028525	-5.7146893	-24.62021	-5.498602											Anopheles_merus
AmerSAMN01760625	public_wgs	Fontaine et al. (2015)	Anopheles_merus	South Africa	29.715282	1.8047401	9.888607	-4.2900634	-21.672955	-4.305504											Anopheles_merus
AmerSAMN01760629	public_wgs	Fontaine et al. (2015)	Anopheles_merus	Kenya	32.43464	1.8998319	10.699727	-5.1599913	-23.766617	-5.0030603											Anopheles_merus
AmerSAMN01760631	public_wgs	Fontaine et al. (2015)	Anopheles_merus	Kenya	21.320772	1.9325038	7.369494	-1.9406333	-15.281676	-2.2305205000000004											Uncertain_merus_melas_gambiae_quadriannulatus_coluzzii_bwambae-fontenillei
AmerSAMN01760632	public_wgs	Fontaine et al. (2015)	Anopheles_merus	South Africa	28.976677	1.7953087	9.658434	-4.1234894	-21.125084	-4.201623400000001											Anopheles_merus
AtenSAMN15222350	public_wgs	Tennessen et al. (2021)	Anopheles_tengrela	Burkina Faso	-35.74673	45.90324	-35.76398	-39.85421	-21.490376	-17.969738											Anopheles_tengrela
AtenSAMN15222354	public_wgs	Tennessen et al. (2021)	Anopheles_tengrela	Burkina Faso	-42.606316	50.60879	-40.77224	-45.89712	-24.554865	-21.01978											Anopheles_tengrela
AtenSAMN15222356	public_wgs	Tennessen et al. (2021)	Anopheles_tengrela	Burkina Faso	-40.952072	52.605118	-41.100662	-45.60019000000001	-24.641096	-20.756977											Anopheles_tengrela
AtenSAMN15222364	public_wgs	Tennessen et al. (2021)	Anopheles_tengrela	Burkina Faso	-31.861057	31.02617	-26.740705	-32.40325	-16.812412	-14.309106											Uncertain_coluzzii_tengrela_gambiae_merus_arabiensis
AtenSAMN15222365	public_wgs	Tennessen et al. (2021)	Anopheles_tengrela	Burkina Faso	-44.705612	43.378506	-38.006294	-44.770073	-23.687815	-20.010368											Anopheles_tengrela
AtenSAMN15222366	public_wgs	Tennessen et al. (2021)	Anopheles_tengrela	Burkina Faso	-35.175564	47.313515	-36.206314	-39.913456	-21.481163	-18.306269											Anopheles_tengrela
AtenSAMN15222368	public_wgs	Tennessen et al. (2021)	Anopheles_tengrela	Burkina Faso	-36.045326	51.334785	-37.97381	-40.787994	-21.315166	-19.199963											Anopheles_tengrela
AtenSAMN15222371	public_wgs	Tennessen et al. (2021)	Anopheles_tengrela	Burkina Faso	-37.71809	27.306023	-26.841726	-34.837115999999995	-17.81964	-15.456963											Uncertain_coluzzii_tengrela_gambiae
AtenSAMN15222379	public_wgs	Tennessen et al. (2021)	Anopheles_tengrela	Burkina Faso	-45.512817	30.580097	-31.371187	-41.09265	-21.13681	-18.149462											Uncertain_coluzzii_tengrela_gambiae
AtenSAMN15222382	public_wgs	Tennessen et al. (2021)	Anopheles_tengrela	Burkina Faso	-26.990156	38.70954	-27.989418	-30.649818	-16.075426	-14.319239											Uncertain_tengrela_coluzzii_gambiae
AtenSAMN15222414	public_wgs	Tennessen et al. (2021)	Anopheles_tengrela	Burkina Faso	-21.852554	35.244656	-23.411144	-25.40677	-12.533852	-12.57698											Uncertain_tengrela_coluzzii_gambiae_merus_arabiensis
