	Anopheles_marshallii_complex	Anopheles_marshallii_cp_sp1	Anopheles_theileri	Anopheles_moucheti	Anopheles_jebudensis	Myzomyia_sp1	Anopheles_gabonensis	Anopheles_funestus	Anopheles_rhodesiensis	Anopheles_minimus_A	Anopheles_culicifacies	Anopheles_aconitus	Anopheles_rampae	Anopheles_maculatus_A	Anopheles_maculatus_B	Anopheles_maculipalpis	Anopheles_annularis	Anopheles_jamesii	Anopheles_stephensi	Anopheles_gambiae_coluzzii	Anopheles_arabiensis	Anopheles_gambiae_cp_sp1	Anopheles_quadriannulatus	Anopheles_melas	Anopheles_merus	Anopheles_christyi	Anopheles_sundaicus_complex	Anopheles_vagus	Anopheles_dirus_A	Anopheles_balabacensis	Anopheles_cracens	Anopheles_koliensis	Anopheles_farauti	Anopheles_punctulatus	Anopheles_tessellatus	Anopheles_coustani_cp_cl3	Anopheles_coustani_cp_cl2	Anopheles_coustani_cp_cl1	Anopheles_hyrcanus_gp_sp1	Anopheles_hyrcanus_gp_sp2	Anopheles_sinensis	Anopheles_barbirostris	Anopheles_atroparvus	Anopheles_implexus	Anopheles_nili_gp_sp3	Anopheles_nili_gp_sp2	Anopheles_nili_gp_sp1	Anopheles_carnevalei	Anopheles_vinckei	Anopheles_dureni	Anopheles_aquasalis	Anopheles_oryzalimnetes	Anopheles_darlingi	Anopheles_albimanus	Anopheles_cruzii	Anopheles_bellator
anopheles-maculatus-maculatus3scaffoldsamacm1	0.0033670033670033677	0.0033670033670033677	0.0033670033670033677	0.0	0.0	0.0	0.0	0.002272727272727273	0.0033670033670033677	0.005824005824005825	0.0	0.0	0.5037660446751356	0.4425985016894108	0.0	0.0	0.009343434343434343	0.0	0.0	0.0	0.0	0.0	0.0	0.02272727272727273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Amac-42	0.0	0.0	0.0	0.0	0.0	0.005747126436781609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9885057471264368	0.0	0.0	0.005747126436781609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Amac-44	0.0	0.0	0.0	0.0	0.0	0.005952380952380952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9880952380952379	0.0	0.0	0.005952380952380952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Amac-50	0.0	0.0	0.0	0.0	0.0	0.005747126436781609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9885057471264368	0.0	0.0	0.005747126436781609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Amac-49	0.0	0.0	0.0	0.0	0.0	0.006289308176100628	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9874213836477986	0.0	0.0	0.006289308176100628	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VBS00004	0.004783163265306122	0.004783163265306122	0.004783163265306122	0.0025510204081632647	0.0025510204081632647	0.0	0.0	0.0013066202090592336	0.002232142857142857	0.002232142857142857	0.0	0.0	0.004845383275261324	0.023083623693379792	0.00745862369337979	0.017857142857142856	0.9011246266799402	0.0025510204081632647	0.017857142857142856	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VBS00003	0.005465838509316768	0.005465838509316768	0.005465838509316768	0.002857142857142857	0.002857142857142857	0.0	0.0	0.0014634146341463415	0.002608695652173913	0.002608695652173913	0.0	0.0	0.005535524920466596	0.005853658536585366	0.008462354188759279	0.02	0.9284987123163156	0.002857142857142857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VBS00001	0.008281573498964804	0.008281573498964804	0.008281573498964804	0.00432900432900433	0.00432900432900433	0.0	0.0	0.0020202020202020206	0.003952569169960475	0.003952569169960475	0.0	0.0	0.007992973210364516	0.008080808080808083	0.012033377250768557	0.0	0.9241357676140286	0.00432900432900433	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VBS00002	0.005465838509316769	0.005465838509316769	0.005465838509316769	0.002857142857142857	0.002857142857142857	0.0	0.0	0.0014634146341463415	0.002608695652173913	0.002608695652173913	0.0	0.0	0.005535524920466597	0.005853658536585368	0.008462354188759279	0.0	0.9484987123163156	0.002857142857142857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VBS00127	0.004943443653121072	0.004943443653121072	0.004943443653121072	0.002597402597402597	0.002597402597402597	0.0	0.0	0.0	0.0023460410557184746	0.0023460410557184746	0.0	0.0	0.0023460410557184746	0.0	0.0023460410557184746	0.0	0.004356933389191453	0.9662337662337659	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VBS00128	0.002747252747252747	0.002747252747252747	0.002747252747252747	0.002747252747252747	0.002747252747252747	0.0	0.0	0.0	0.009615384615384616	0.002958579881656805	0.0	0.0	0.0	0.0	0.0	0.0	0.002747252747252747	0.9674908424908424	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002218934911242604	0.0	0.0	0.0	0.0	0.0007396449704142013	0.0	0.0	0.0	0.0004930966469428008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VBS00125	0.0024213075060532684	0.0024213075060532684	0.0024213075060532684	0.0024213075060532684	0.0024213075060532684	0.0	0.0	0.0	0.01694915254237288	0.0	0.0	0.01016949152542373	0.00423728813559322	0.006355932203389831	0.006355932203389831	0.03389830508474576	0.009200968523002423	0.900726392251816	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
anopheles-stephensi-indianscaffoldsastei2	0.0	0.0	0.0	0.0	0.0	0.005649717514124294	0.0	0.0	0.0	0.0	0.0	0.0	0.004622496147919877	0.0	0.0	0.02259887005649717	0.008474576271186442	0.0	0.9586543400102724	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
anopheles-stephensi-sda-500scaffoldsastes1	0.0	0.0	0.0	0.0	0.0	0.02259887005649717	0.0	0.0	0.0	0.0	0.0	0.0	0.02157164869029276	0.0	0.0	0.005649717514124294	0.008474576271186442	0.0	0.9417051874678992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
anopheles-gambiae-pestchromosomesagamp4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008979647892159713	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6058864918985789	0.0982242270618658	0.0533776404959113	0.12538468901889266	0.06709676457003308	0.03790341081708258	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003147128245476004	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AR0073-C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004450052495208006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6472661172323078	0.1039198348156208	0.061655889703041276	0.0771851390777825	0.059468139781039764	0.044500221376150284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001554605518849592	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acol-570	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007809449433814915	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6693298916412724	0.1018308509868104	0.05205564814883035	0.09043393173393872	0.04127766558490785	0.04053872174509891	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00375234521575985	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acol-558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004756952667291316	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5887461880622687	0.1676855965407712	0.052486275941109335	0.08576561354183973	0.056745581770956864	0.043813791475762885	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AV0292-C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006657235582924191	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5891378024286407	0.17148103704279646	0.04603652654090487	0.09539532134083947	0.05782556586359714	0.03787793236970485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001580090855224176	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AB0098-Cx	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004523004175457318	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.615745218351629	0.15070865559646904	0.05250612623026905	0.08350441085153541	0.05595893315441065	0.035473560785005374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015800908552241757	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AG0038-C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006549860815457671	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5599511141974557	0.16197181529863675	0.0714733381424343	0.09985460195170412	0.06617767363100774	0.03836186517836601	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001554605518849592	0.0	0.0	0.0	0.0	0.0	0.0	0.0
anopheles-coluzzii-mali-nihscaffoldsacolm1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00943624015786275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5712587520042529	0.17083565616014298	0.057378339620367924	0.1013188569447752	0.04998368483607195	0.03648131856094119	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003307151715584953	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AB0265-C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006549860815457671	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5351453886947042	0.2400365370331915	0.04685425004955048	0.08578207009227079	0.05669001090024196	0.033318730583030545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015180265654648954	0.0	0.0	0.0	0.0	0.0	0.0	0.0
anopheles-gambiae-pimperenascaffoldsagams1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006549860815457671	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6040415249970131	0.11228151197752656	0.05950356035067055	0.097687618518595	0.07347065182975633	0.04921301799941667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003147128245476003	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BP0081-C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006549860815457673	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5811536618870224	0.15564730418351236	0.07185285062892327	0.1016266691304957	0.05438297190086	0.033126950668790886	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001554605518849592	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Agam-30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007001575354454751	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5788533524603582	0.1767700749916117	0.051906609617344265	0.07347956624868618	0.07409317808328178	0.0408328894905222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0033641715727502105	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Agam-32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006882904585735182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5977369504415411	0.1418952820334276	0.067679849189358	0.08258296173237405	0.055996011349112015	0.05011350308002887	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003307151715584953	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Agam-37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007272727272727271	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5614768561029094	0.13686981735785636	0.08465621557079925	0.10826186014381664	0.051185789560729965	0.0550697241335488	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0017524644030668128	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Amar-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006657235582924191	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.590856569161896	0.15340926756475204	0.05998706930029012	0.08132228455101699	0.06289770239837167	0.04773882296577113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00312256049960968	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Agam-38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007124410009796062	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5787609539277129	0.167390113462865	0.061259149512140586	0.08960171846234664	0.05247502211060675	0.046418652675324835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003381948848023674	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Agam-35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000700157535445475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5921693061408476	0.14611036852779608	0.06167025907556214	0.0896248141501962	0.0546743399892156	0.05172711519581009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003323639385126713	0.0	0.0	0.0	0.0	0.0	0.0	0.0
anopheles-arabiensis-sharakhov	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006762132060461415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10384742953205517	0.6582967706169924	0.07184366508132926	0.07634491115611397	0.05194945759381448	0.03704155281364857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
anopheles-arabiensis-dongolascaffoldsaarad1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006543998768188465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10599201794488147	0.6445055596541613	0.07757291941582024	0.08192896400432156	0.053499475090788215	0.035846664013208296	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AZ0165-C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006651277436519426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2051233947760896	0.550174768212273	0.04892853915608844	0.09312182058380887	0.052348399039689936	0.04634375989040585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003294190597992481	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC0049-C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006651277436519428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20345803518338232	0.5371234493354407	0.05762933220345859	0.10752092202348396	0.05304083248848054	0.03726811042410958	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0032941905979924826	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AB0502-C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006543998768188469	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21355128403327375	0.5255415735032408	0.0466135865770761	0.12239502412395198	0.05640841822007168	0.03483571366556686	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BL0203-C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006543998768188465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2547104495025723	0.4845179444598479	0.06061235250731329	0.09719441628644816	0.05654063102092825	0.04252874785449795	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0032410584915732467	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acol-645	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39885712233436893	0.2496326188133729	0.0	0.235719185975587	0.05397961020253437	0.0564906489026186	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005320813771517997	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AquaSAMN01760638	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008280161706687446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07462996948686834	0.09212127751127043	0.047405604580387485	0.6839371028247047	0.051298368412647635	0.0497796610134526	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AquaSAMN01760633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007245141493351518	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08496115889052855	0.08269319122161896	0.04791407427526512	0.6838195600964327	0.0533159049103237	0.043036557986959406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003535038469536285	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AquaSAMN01760642	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007802460069763169	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09554396216785252	0.09425479757124283	0.049191992382353666	0.6424746073982839	0.06121643027542827	0.05653796419786225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AquaSAMN01760639	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007513480067179351	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09180178165635464	0.11476441266376035	0.049007613937807296	0.6129827109345627	0.06311745822062813	0.06757467458016897	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AquaSAMN01760637	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007802460069763173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09358029303041916	0.11954831357897215	0.06059839196787468	0.603661906112526	0.055730449318720114	0.06229343547885709	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003806964505654461	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AquaSAMN01760635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006995309028063534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10421061764360738	0.08368215941589463	0.043180705371931034	0.6575942875856717	0.06178758466508634	0.04551439341186785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0033307210031347963	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AquaSAMN01760641	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007513480067179351	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12927130961492764	0.11236406202560237	0.0545570135366332	0.5896158628432401	0.059267050693152974	0.05238463274100539	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0017887205387205386	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AquaSAMN01760640	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008114558472553697	0.0	0.0	0.0	0.0	0.0	0.0012820512820512818	0.0	0.0	0.0	0.0	0.1130558176534846	0.1442854448953921	0.051888621476277465	0.5696251403802324	0.05588808619768213	0.06059927970352199	0.0	0.0	0.0	0.0012820512820512818	0.0	0.0012820512820512818	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AquaSAMN01760634	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008114558472553699	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1127950305154579	0.10126263890957812	0.04835078788429906	0.6104105897828238	0.05697507890224882	0.06746259997651863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019318181818181812	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AquaSAMN01760636	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00081145584725537	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11260273280598708	0.11940977429601375	0.057375484910334486	0.5954498302232534	0.07096399244205165	0.03942748638922373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003959243085880641	0.0	0.0	0.0	0.0	0.0	0.0	0.0
