sample_id,location,adm_level,country,country_code,longitude,latitude,collection_context,date_of_collection,collection_method,dna_extraction_method,species,dna_concentration,sex_call,cohort,cohort_colour,coarse_cohort,coarse_cohort_colour,mitochondrial_id,3La,3Ra,3Rb,2Ra,2Rh
VBS17197,Mibellon,"Adamawa, Mayo-Banyo",Cameroon,CMR,11.5,6.083,Indoor,2014-08-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,2.537,F,Cameroon_Adamawa,#d62728,EQ_central,#d62728,funestus-lineageI-clusterB,minus,het,minus,plus,minus
VBS17198,Mibellon,"Adamawa, Mayo-Banyo",Cameroon,CMR,11.5,6.083,Indoor,2014-08-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,3.475,F,Cameroon_Adamawa,#d62728,EQ_central,#d62728,funestus-lineageI-clusterB,minus,minus,minus,het,plus
VBS17199,Mibellon,"Adamawa, Mayo-Banyo",Cameroon,CMR,11.5,6.083,Indoor,2014-08-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,3.272,F,Cameroon_Adamawa,#d62728,EQ_central,#d62728,funestus-lineageI-clusterB,minus,plus,het,het,plus
VBS17200,Mibellon,"Adamawa, Mayo-Banyo",Cameroon,CMR,11.5,6.083,Indoor,2014-08-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,3.259,F,Cameroon_Adamawa,#d62728,EQ_central,#d62728,funestus-lineageI-clusterB,minus,minus,het,plus,plus
VBS17202,Mibellon,"Adamawa, Mayo-Banyo",Cameroon,CMR,11.5,6.083,Indoor,2014-08-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,2.893,F,Cameroon_Adamawa,#d62728,EQ_central,#d62728,funestus-lineageI-clusterB,minus,plus,het,plus,plus
VBS17203,Mibellon,"Adamawa, Mayo-Banyo",Cameroon,CMR,11.5,6.083,Indoor,2014-08-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,3.143,F,Cameroon_Adamawa,#d62728,EQ_central,#d62728,funestus-lineageI-clusterB,minus,minus,minus,plus,het
VBS17204,Mibellon,"Adamawa, Mayo-Banyo",Cameroon,CMR,11.5,6.083,Indoor,2014-08-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,3.31,F,Cameroon_Adamawa,#d62728,EQ_central,#d62728,funestus-lineageI-clusterB,minus,het,plus,het,plus
VBS17205,Mibellon,"Adamawa, Mayo-Banyo",Cameroon,CMR,11.5,6.083,Indoor,2014-08-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,2.721,F,Cameroon_Adamawa,#d62728,EQ_central,#d62728,funestus-lineageI-clusterB,minus,plus,het,plus,plus
VBS17206,Mibellon,"Adamawa, Mayo-Banyo",Cameroon,CMR,11.5,6.083,Indoor,2014-08-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,4.623,F,Cameroon_Adamawa,#d62728,EQ_central,#d62728,funestus-lineageI-clusterB,minus,het,het,het,plus
VBS17207,Mibellon,"Adamawa, Mayo-Banyo",Cameroon,CMR,11.5,6.083,Indoor,2014-08-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,4.175,F,Cameroon_Adamawa,#d62728,EQ_central,#d62728,funestus-lineageI-clusterB,minus,plus,minus,minus,plus
VBS17208,Mibellon,"Adamawa, Mayo-Banyo",Cameroon,CMR,11.5,6.083,Indoor,2014-08-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,3.475,F,Cameroon_Adamawa,#d62728,EQ_central,#d62728,funestus-lineageI-clusterB,minus,het,het,het,plus
VBS17209,Mibellon,"Adamawa, Mayo-Banyo",Cameroon,CMR,11.5,6.083,Indoor,2014-08-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,2.819,F,Cameroon_Adamawa,#d62728,EQ_central,#d62728,funestus-lineageI-clusterB,minus,het,het,het,het
VBS17210,Mibellon,"Adamawa, Mayo-Banyo",Cameroon,CMR,11.5,6.083,Indoor,2014-08-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,3.725,F,Cameroon_Adamawa,#d62728,EQ_central,#d62728,funestus-lineageI-clusterB,minus,minus,het,plus,het
VBS17212,Mibellon,"Adamawa, Mayo-Banyo",Cameroon,CMR,11.5,6.083,Indoor,2014-08-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,4.44,F,Cameroon_Adamawa,#d62728,EQ_central,#d62728,funestus-lineageI-clusterB,minus,het,het,plus,plus
VBS17213,Mibellon,"Adamawa, Mayo-Banyo",Cameroon,CMR,11.5,6.083,Indoor,2014-08-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,2.268,F,Cameroon_Adamawa,#d62728,EQ_central,#d62728,funestus-lineageI-clusterB,minus,het,het,plus,het
VBS17214,Mibellon,"Adamawa, Mayo-Banyo",Cameroon,CMR,11.5,6.083,Indoor,2014-08-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,3.768,F,Cameroon_Adamawa,#d62728,EQ_central,#d62728,funestus-lineageI-clusterB,minus,plus,minus,plus,het
VBS17215,Mibellon,"Adamawa, Mayo-Banyo",Cameroon,CMR,11.5,6.083,Indoor,2014-08-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,2.947,F,Cameroon_Adamawa,#d62728,EQ_central,#d62728,funestus-lineageI-clusterB,minus,minus,het,plus,het
VBS17216,Mibellon,"Adamawa, Mayo-Banyo",Cameroon,CMR,11.5,6.083,Indoor,2014-08-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,2.994,F,Cameroon_Adamawa,#d62728,EQ_central,#d62728,funestus-lineageI-clusterB,minus,het,minus,plus,het
VBS17217,Mibellon,"Adamawa, Mayo-Banyo",Cameroon,CMR,11.5,6.083,Indoor,2014-08-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,3.488,F,Cameroon_Adamawa,#d62728,EQ_central,#d62728,funestus-lineageI-clusterB,minus,het,het,het,plus
VBS17218,Mibellon,"Adamawa, Mayo-Banyo",Cameroon,CMR,11.5,6.083,Indoor,2014-08-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,4.147,F,Cameroon_Adamawa,#d62728,EQ_central,#d62728,funestus-lineageI-clusterB,minus,minus,minus,het,het
VBS17219,Mibellon,"Adamawa, Mayo-Banyo",Cameroon,CMR,11.5,6.083,Indoor,2014-08-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,2.306,F,Cameroon_Adamawa,#d62728,EQ_central,#d62728,funestus-lineageI-clusterB,minus,minus,minus,plus,plus
VBS17220,Mibellon,"Adamawa, Mayo-Banyo",Cameroon,CMR,11.5,6.083,Indoor,2014-08-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,4.118,F,Cameroon_Adamawa,#d62728,EQ_central,#d62728,funestus-lineageI-clusterB,minus,plus,het,het,plus
VBS17221,Mibellon,"Adamawa, Mayo-Banyo",Cameroon,CMR,11.5,6.083,Indoor,2014-08-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,3.063,F,Cameroon_Adamawa,#d62728,EQ_central,#d62728,funestus-lineageI-clusterB,minus,minus,minus,het,het
VBS17222,Mibellon,"Adamawa, Mayo-Banyo",Cameroon,CMR,11.5,6.083,Indoor,2014-08-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,3.097,F,Cameroon_Adamawa,#d62728,EQ_central,#d62728,funestus-lineageI-clusterB,minus,minus,het,plus,plus
VBS17224,Mibellon,"Adamawa, Mayo-Banyo",Cameroon,CMR,11.5,6.083,Indoor,2014-08-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,3.987,F,Cameroon_Adamawa,#d62728,EQ_central,#d62728,funestus-lineageI-clusterB,minus,het,plus,plus,plus
VBS17225,Mibellon,"Adamawa, Mayo-Banyo",Cameroon,CMR,11.5,6.083,Indoor,2014-08-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,3.287,F,Cameroon_Adamawa,#d62728,EQ_central,#d62728,funestus-lineageI-clusterB,minus,minus,minus,plus,plus
VBS17226,Mibellon,"Adamawa, Mayo-Banyo",Cameroon,CMR,11.5,6.083,Indoor,2014-08-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,2.757,F,Cameroon_Adamawa,#d62728,EQ_central,#d62728,funestus-lineageI-clusterB,minus,plus,minus,plusminus,het
VBS17227,Mibellon,"Adamawa, Mayo-Banyo",Cameroon,CMR,11.5,6.083,Indoor,2014-08-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,3.091,F,Cameroon_Adamawa,#d62728,EQ_central,#d62728,funestus-lineageI-clusterB,minus,het,het,het,plus
VBS17228,Mibellon,"Adamawa, Mayo-Banyo",Cameroon,CMR,11.5,6.083,Indoor,2014-08-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,3.496,F,Cameroon_Adamawa,#d62728,EQ_central,#d62728,funestus-lineageI-clusterB,minus,het,het,plus,plus
VBS17229,Mibellon,"Adamawa, Mayo-Banyo",Cameroon,CMR,11.5,6.083,Indoor,2014-08-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,2.456,F,Cameroon_Adamawa,#d62728,EQ_central,#d62728,funestus-lineageI-clusterB,minus,plus,het,het,het
VBS17230,Mibellon,"Adamawa, Mayo-Banyo",Cameroon,CMR,11.5,6.083,Indoor,2014-08-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,3.444,F,Cameroon_Adamawa,#d62728,EQ_central,#d62728,funestus-lineageI-clusterB,minus,het,het,plus,het
VBS17231,Mibellon,"Adamawa, Mayo-Banyo",Cameroon,CMR,11.5,6.083,Indoor,2014-08-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,3.166,F,Cameroon_Adamawa,#d62728,EQ_central,#d62728,funestus-lineageI-clusterB,minus,minus,minus,plus,het
VBS17233,Mibellon,"Adamawa, Mayo-Banyo",Cameroon,CMR,11.5,6.083,Indoor,2014-08-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,3.29,F,Cameroon_Adamawa,#d62728,EQ_central,#d62728,funestus-lineageI-clusterB,minus,minus,het,het,het
VBS17234,Mibellon,"Adamawa, Mayo-Banyo",Cameroon,CMR,11.5,6.083,Indoor,2014-08-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,3.601,F,Cameroon_Adamawa,#d62728,EQ_central,#d62728,funestus-lineageI-clusterB,minus,het,het,plus,het
VBS17235,Mibellon,"Adamawa, Mayo-Banyo",Cameroon,CMR,11.5,6.083,Indoor,2014-08-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,2.978,F,Cameroon_Adamawa,#d62728,EQ_central,#d62728,funestus-lineageI-clusterB,minus,plus,het,het,plus
VBS17236,Mibellon,"Adamawa, Mayo-Banyo",Cameroon,CMR,11.5,6.083,Indoor,2014-08-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,3.102,F,Cameroon_Adamawa,#d62728,EQ_central,#d62728,funestus-lineageI-clusterB,minus,het,minus,plus,plus
VBS17237,Mibellon,"Adamawa, Mayo-Banyo",Cameroon,CMR,11.5,6.083,Indoor,2014-08-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,2.788,F,Cameroon_Adamawa,#d62728,EQ_central,#d62728,funestus-lineageI-clusterB,minus,minus,minus,plus,het
VBS17238,Mibellon,"Adamawa, Mayo-Banyo",Cameroon,CMR,11.5,6.083,Indoor,2014-08-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,2.849,F,Cameroon_Adamawa,#d62728,EQ_central,#d62728,funestus-lineageI-clusterB,minus,het,minus,plus,plus
VBS17239,Mibellon,"Adamawa, Mayo-Banyo",Cameroon,CMR,11.5,6.083,Indoor,2014-08-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,1.788,F,Cameroon_Adamawa,#d62728,EQ_central,#d62728,funestus-lineageI-clusterB,minus,plus,minus,het,plus
VBS17240,Obuasi,"Ashanti Region,",Ghana,GHA,-1.617,5.933,Indoor,2014-03-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,3.508,F,Ghana_Ashanti-Region,#2ca02c,EQ_central,#d62728,funestus-lineageI-clusterB,minus,het,het,plus,minus
VBS17241,Obuasi,"Ashanti Region,",Ghana,GHA,-1.617,5.933,Indoor,2014-03-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,3.871,F,Ghana_Ashanti-Region,#2ca02c,EQ_central,#d62728,funestus-lineageI-clusterB,minus,minus,minus,het,het
VBS17242,Obuasi,"Ashanti Region,",Ghana,GHA,-1.617,5.933,Indoor,2014-03-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,3.516,F,Ghana_Ashanti-Region,#2ca02c,EQ_central,#d62728,funestus-lineageII,minus,het,het,plus,minus
VBS17243,Obuasi,"Ashanti Region,",Ghana,GHA,-1.617,5.933,Indoor,2014-03-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,3.002,F,Ghana_Ashanti-Region,#2ca02c,EQ_central,#d62728,funestus-lineageI-clusterB,minus,minus,minus,plus,minus
VBS17244,Obuasi,"Ashanti Region,",Ghana,GHA,-1.617,5.933,Indoor,2014-03-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,2.392,F,Ghana_Ashanti-Region,#2ca02c,EQ_central,#d62728,funestus-lineageI-clusterB,minus,het,minus,het,het
VBS17245,Obuasi,"Ashanti Region,",Ghana,GHA,-1.617,5.933,Indoor,2014-03-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,2.91,F,Ghana_Ashanti-Region,#2ca02c,EQ_central,#d62728,funestus-lineageI-clusterB,minus,minus,minus,plus,minus
VBS17246,Obuasi,"Ashanti Region,",Ghana,GHA,-1.617,5.933,Indoor,2014-03-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,3.449,F,Ghana_Ashanti-Region,#2ca02c,EQ_central,#d62728,funestus-lineageI-clusterB,minus,het,het,het,het
VBS17247,Obuasi,"Ashanti Region,",Ghana,GHA,-1.617,5.933,Indoor,2014-03-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,4.948,F,Ghana_Ashanti-Region,#2ca02c,EQ_central,#d62728,funestus-lineageI-clusterB,minus,minus,minus,plus,minus
VBS17248,Obuasi,"Ashanti Region,",Ghana,GHA,-1.617,5.933,Indoor,2014-03-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,4.069,F,Ghana_Ashanti-Region,#2ca02c,EQ_central,#d62728,funestus-lineageI-clusterB,minus,minus,minus,plus,minus
VBS17249,Obuasi,"Ashanti Region,",Ghana,GHA,-1.617,5.933,Indoor,2014-03-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,3.091,F,Ghana_Ashanti-Region,#2ca02c,EQ_central,#d62728,funestus-lineageI-clusterB,minus,minus,minus,plus,minus
VBS17250,Obuasi,"Ashanti Region,",Ghana,GHA,-1.617,5.933,Indoor,2014-03-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,3.102,F,Ghana_Ashanti-Region,#2ca02c,EQ_central,#d62728,funestus-lineageI-clusterB,minus,minus,minus,plus,minus
VBS17251,Obuasi,"Ashanti Region,",Ghana,GHA,-1.617,5.933,Indoor,2014-03-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,3.359,F,Ghana_Ashanti-Region,#2ca02c,EQ_central,#d62728,funestus-lineageI-clusterB,minus,minus,minus,plus,minus
VBS17252,Obuasi,"Ashanti Region,",Ghana,GHA,-1.617,5.933,Indoor,2014-03-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,4.217,F,Ghana_Ashanti-Region,#2ca02c,EQ_central,#d62728,funestus-lineageI-clusterB,minus,het,minus,plus,minus
VBS17253,Obuasi,"Ashanti Region,",Ghana,GHA,-1.617,5.933,Indoor,2014-03-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,2.588,F,Ghana_Ashanti-Region,#2ca02c,EQ_central,#d62728,funestus-lineageI-clusterB,minus,minus,minus,plus,minus
VBS17255,Obuasi,"Ashanti Region,",Ghana,GHA,-1.617,5.933,Indoor,2014-03-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,3.086,F,Ghana_Ashanti-Region,#2ca02c,EQ_central,#d62728,funestus-lineageI-clusterB,minus,het,het,plus,minus
VBS17256,Obuasi,"Ashanti Region,",Ghana,GHA,-1.617,5.933,Indoor,2014-03-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,2.754,F,Ghana_Ashanti-Region,#2ca02c,EQ_central,#d62728,funestus-lineageI-clusterB,minus,het,minus,plus,het
VBS17258,Obuasi,"Ashanti Region,",Ghana,GHA,-1.617,5.933,Indoor,2014-03-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,2.326,F,Ghana_Ashanti-Region,#2ca02c,EQ_central,#d62728,funestus-lineageI-clusterB,minus,minus,minus,plus,minus
VBS17259,Obuasi,"Ashanti Region,",Ghana,GHA,-1.617,5.933,Indoor,2014-03-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,2.803,F,Ghana_Ashanti-Region,#2ca02c,EQ_central,#d62728,funestus-lineageI-clusterB,minus,minus,minus,plus,minus
VBS17260,Obuasi,"Ashanti Region,",Ghana,GHA,-1.617,5.933,Indoor,2014-03-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,2.018,F,Ghana_Ashanti-Region,#2ca02c,EQ_central,#d62728,funestus-lineageI-clusterB,minus,het,minus,plus,minus
VBS17265,Obuasi,"Ashanti Region,",Ghana,GHA,-1.617,5.933,Indoor,2014-03-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,2.967,F,Ghana_Ashanti-Region,#2ca02c,EQ_central,#d62728,funestus-lineageI-clusterB,minus,minus,minus,plus,het
VBS17267,Obuasi,"Ashanti Region,",Ghana,GHA,-1.617,5.933,Indoor,2014-03-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,2.215,F,Ghana_Ashanti-Region,#2ca02c,EQ_central,#d62728,funestus-lineageI-clusterB,minus,het,minus,plus,het
VBS17270,Obuasi,"Ashanti Region,",Ghana,GHA,-1.617,5.933,Indoor,2014-03-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,3.752,F,Ghana_Ashanti-Region,#2ca02c,EQ_central,#d62728,funestus-lineageI-clusterB,minus,minus,minus,het,het
VBS17273,Obuasi,"Ashanti Region,",Ghana,GHA,-1.617,5.933,Indoor,2014-03-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,2.492,F,Ghana_Ashanti-Region,#2ca02c,EQ_central,#d62728,funestus-lineageI-clusterB,minus,het,het,plus,minus
VBS17275,Obuasi,"Ashanti Region,",Ghana,GHA,-1.617,5.933,Indoor,2014-03-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,4.266,F,Ghana_Ashanti-Region,#2ca02c,EQ_central,#d62728,funestus-lineageI-clusterB,minus,minus,minus,plus,minus
VBS17277,Obuasi,"Ashanti Region,",Ghana,GHA,-1.617,5.933,Indoor,2014-03-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,3.115,F,Ghana_Ashanti-Region,#2ca02c,EQ_central,#d62728,funestus-lineageI-clusterB,minus,minus,minus,plus,minus
VBS17278,Obuasi,"Ashanti Region,",Ghana,GHA,-1.617,5.933,Indoor,2014-03-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,4.475,F,Ghana_Ashanti-Region,#2ca02c,EQ_central,#d62728,funestus-lineageI-clusterB,minus,het,minus,plus,het
VBS17282,Obuasi,"Ashanti Region,",Ghana,GHA,-1.617,5.933,Indoor,2014-03-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,3.288,F,Ghana_Ashanti-Region,#2ca02c,EQ_central,#d62728,funestus-lineageI-clusterB,minus,het,het,plus,minus
VBS17283,Obuasi,"Ashanti Region,",Ghana,GHA,-1.617,5.933,Indoor,2014-03-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,4.047,F,Ghana_Ashanti-Region,#2ca02c,EQ_central,#d62728,funestus-lineageI-clusterA,minus,minus,minus,plus,minus
VBS17286,Obuasi,"Ashanti Region,",Ghana,GHA,-1.617,5.933,Indoor,2014-03-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,3.927,F,Ghana_Ashanti-Region,#2ca02c,EQ_central,#d62728,funestus-lineageI-clusterB,minus,het,minus,plus,het
VBS17288,Obuasi,"Ashanti Region,",Ghana,GHA,-1.617,5.933,Indoor,2014-03-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,3.187,F,Ghana_Ashanti-Region,#2ca02c,EQ_central,#d62728,funestus-lineageI-clusterB,minus,minus,minus,plus,minus
VBS17289,Obuasi,"Ashanti Region,",Ghana,GHA,-1.617,5.933,Indoor,2014-03-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,4.242,F,Ghana_Ashanti-Region,#2ca02c,EQ_central,#d62728,funestus-lineageI-clusterB,minus,minus,minus,plus,minus
VBS17290,Chikwawa,"Southern Region, Chikwawa",Malawi,MWI,34.789,-16.017,Indoor,2014-01-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,1.325,F,Malawi_Southern-Region,#1f77b4,S_east,#1f77b4,funestus-lineageI-clusterA,minus,minus,minus,plus,plus
VBS17316,Chikwawa,"Southern Region, Chikwawa",Malawi,MWI,34.789,-16.017,Indoor,2014-01-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,5.16,F,Malawi_Southern-Region,#1f77b4,S_east,#1f77b4,funestus-lineageI-clusterA,het,minus,het,plus,plus
VBS17317,Chikwawa,"Southern Region, Chikwawa",Malawi,MWI,34.789,-16.017,Indoor,2014-01-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,2.012,F,Malawi_Southern-Region,#1f77b4,S_east,#1f77b4,funestus-lineageI-clusterA,plus,plus,plus,plus,plus
VBS17318,Chikwawa,"Southern Region, Chikwawa",Malawi,MWI,34.789,-16.017,Indoor,2014-01-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,2.8,F,Malawi_Southern-Region,#1f77b4,S_east,#1f77b4,funestus-lineageI-clusterB,plus,plus,het,het,plus
VBS17319,Chikwawa,"Southern Region, Chikwawa",Malawi,MWI,34.789,-16.017,Indoor,2014-01-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,4.568,F,Malawi_Southern-Region,#1f77b4,S_east,#1f77b4,funestus-lineageI-clusterA,het,het,het,het,plus
VBS17320,Chikwawa,"Southern Region, Chikwawa",Malawi,MWI,34.789,-16.017,Indoor,2014-01-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,2.525,F,Malawi_Southern-Region,#1f77b4,S_east,#1f77b4,funestus-lineageI-clusterA,plus,plus,plus,minus,plus
VBS17323,Chikwawa,"Southern Region, Chikwawa",Malawi,MWI,34.789,-16.017,Indoor,2014-01-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,2.519,F,Malawi_Southern-Region,#1f77b4,S_east,#1f77b4,funestus-lineageI-clusterA,het,plus,plus,minus,plus
VBS17326,Chikwawa,"Southern Region, Chikwawa",Malawi,MWI,34.789,-16.017,Indoor,2014-01-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,3.487,F,Malawi_Southern-Region,#1f77b4,S_east,#1f77b4,funestus-lineageI-clusterA,plus,plus,plus,plus,plus
VBS17327,Chikwawa,"Southern Region, Chikwawa",Malawi,MWI,34.789,-16.017,Indoor,2014-01-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,4.452,F,Malawi_Southern-Region,#1f77b4,S_east,#1f77b4,funestus-lineageI-clusterA,minus,het,het,het,plus
VBS17328,Chikwawa,"Southern Region, Chikwawa",Malawi,MWI,34.789,-16.017,Indoor,2014-01-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,3.223,F,Malawi_Southern-Region,#1f77b4,S_east,#1f77b4,funestus-lineageI-clusterA,minus,plus,plus,het,plus
VBS17329,Chikwawa,"Southern Region, Chikwawa",Malawi,MWI,34.789,-16.017,Indoor,2014-01-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,3.394,F,Malawi_Southern-Region,#1f77b4,S_east,#1f77b4,funestus-lineageI-clusterB,het,het,plus,plus,plus
VBS17330,Chikwawa,"Southern Region, Chikwawa",Malawi,MWI,34.789,-16.017,Indoor,2014-01-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,2.902,F,Malawi_Southern-Region,#1f77b4,S_east,#1f77b4,funestus-lineageI-clusterA,het,plus,plus,het,plus
VBS17331,Chikwawa,"Southern Region, Chikwawa",Malawi,MWI,34.789,-16.017,Indoor,2014-01-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,2.545,F,Malawi_Southern-Region,#1f77b4,S_east,#1f77b4,funestus-lineageI-clusterA,minus,het,het,minus,plus
VBS17332,Chikwawa,"Southern Region, Chikwawa",Malawi,MWI,34.789,-16.017,Indoor,2014-01-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,2.441,F,Malawi_Southern-Region,#1f77b4,S_east,#1f77b4,funestus-lineageI-clusterA,het,plus,het,plus,plus
VBS17333,Chikwawa,"Southern Region, Chikwawa",Malawi,MWI,34.789,-16.017,Indoor,2014-01-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,2.641,F,Malawi_Southern-Region,#1f77b4,S_east,#1f77b4,funestus-lineageI-clusterA,plus,plus,plus,het,plus
VBS17334,Chikwawa,"Southern Region, Chikwawa",Malawi,MWI,34.789,-16.017,Indoor,2014-01-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,2.157,F,Malawi_Southern-Region,#1f77b4,S_east,#1f77b4,funestus-lineageI-clusterA,minus,plus,minus,plus,plus
VBS17335,Chikwawa,"Southern Region, Chikwawa",Malawi,MWI,34.789,-16.017,Indoor,2014-01-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,1.867,F,Malawi_Southern-Region,#1f77b4,S_east,#1f77b4,funestus-lineageI-clusterA,het,het,het,plus,plus
VBS17339,Chikwawa,"Southern Region, Chikwawa",Malawi,MWI,34.789,-16.017,Indoor,2014-01-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,1.511,F,Malawi_Southern-Region,#1f77b4,S_east,#1f77b4,funestus-lineageI-clusterA,het,het,het,het,plus
VBS17342,Palmeira,"Maputo, Manhica",Mozambique,MOZ,32.873,-25.255,Indoor,2016-04-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,2.644,F,Mozambique_Maputo,#17becf,S_southeast,#17becf,funestus-lineageI-clusterA,minus,plus,het,plus,plus
VBS17345,Palmeira,"Maputo, Manhica",Mozambique,MOZ,32.873,-25.255,Indoor,2016-04-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,2.236,F,Mozambique_Maputo,#17becf,S_southeast,#17becf,funestus-lineageI-clusterA,minus,het,plus,plus,plus
VBS17346,Palmeira,"Maputo, Manhica",Mozambique,MOZ,32.873,-25.255,Indoor,2016-04-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,1.223,F,Mozambique_Maputo,#17becf,S_southeast,#17becf,funestus-lineageII,plus,plus,plus,plus,plus
VBS17347,Palmeira,"Maputo, Manhica",Mozambique,MOZ,32.873,-25.255,Indoor,2016-04-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,1.993,F,Mozambique_Maputo,#17becf,S_southeast,#17becf,funestus-lineageII,het,plus,plus,het,plus
VBS17348,Palmeira,"Maputo, Manhica",Mozambique,MOZ,32.873,-25.255,Indoor,2016-04-01,Indoor resting catch,Qiagen DNeasy,Anopheles funestus,2.095,F,Mozambique_Maputo,#17becf,S_southeast,#17becf,funestus-lineageI-clusterA,het,plus,plus,plus,plus
